Name	Family	Origin	Length
IS1358	ISAs1	Vibrio cholerae	1326
IS1358A	ISAs1	Vibrio anguillarum	1326
IS1548	ISAs1	Streptococcus agalactiae	1316
IS1629	ISAs1	Streptomyces sp.	1462
IS2404	ISAs1	Mycobacterium ulcerans	1279
ISAcma12	ISAs1	Acaryochloris marina	166
ISAcma2	ISAs1	Acaryochloris marina	1263
ISAcr3	ISAs1	Acidiphilium cryptum	1232
ISAeme1	ISAs1	Aeromonas media	1256
ISAeme2	ISAs1	Aeromonas media	1212
ISAli14	ISAs1	Azospirillum lipoferum	1267
ISAma3	ISAs1	Alteromonas macleodii	1205
ISAnsp13	ISAs1	Anaeromyxobacter sp.	1367
ISAnsp9	ISAs1	Anaeromyxobacter sp.	1704
ISArch16	ISAzo13	Uncultured archaeon	1312
ISArch20	ISAzo13	Uncultured archaeon	1300
ISArsp11	ISAs1	Arthrobacter sp.	1306
ISAs1	ISAs1	Aeromonas salmonicida	1212
ISAs12	ISAs1	Aeromonas salmonicida	1438
ISAsp2	ISAs1	Anabaena sp.	1608
ISAzo13	ISAzo13	Azoarcus sp.	1305
ISAzo29	ISAs1	Azoarcus sp.	1304
ISAzo3	ISAs1	Azoarcus sp.	1282
ISAzo8	ISAs1	Azoarcus sp.	1261
ISAzs11	ISAs1	Azospirillum sp.	1224
ISAzs12	ISAs1	Azospirillum sp.	1196
ISAzs15	ISAs1	Azospirillum sp.	1263
ISAzs22	ISAs1	Azospirillum sp.	1267
ISAzs5	ISAs1	Azospirillum sp.	1333
ISBaov2	ISAs1	Bacteroides ovatus	1352
ISBf9	ISAs1	Bacteroides fragilis	1845
ISBli27	ISAs1	Brevibacterium linens	1300
ISBlma7	ISAs1	Blastopirellula marina	1279
ISBlma8	ISAs1	Blastopirellula marina	1263
ISBthe4	ISAs1	Bacteroides thetaiotaomicron	1353
ISCap1	ISAzo13	Candidatus Accumulibacter	1311
ISCARN37	ISAzo13	Metagenomic data	1308
ISCARN84	ISAzo13	Metagenomic data	1284
ISCasp1	ISAzo13	Calothrix sp.	1353
ISCbu1	ISAs1	Coxiella burnetii	1324
ISCfu1	ISAzo13	Cystobacter fuscus	1289
ISChth1	ISAs1	Chloroherpeton thalassium	1208
ISCph11	ISAzo13	Chlorobium phaeobacteroides	1309
ISCph5	ISAzo13	Chlorobium phaeobacteroides	1312
ISCwa3	ISAs1	Crocosphaera watsonii	1497
ISCysp2	ISAs1	Cyanothece sp.	1360
ISCysp5	ISAs1	Cyanothece sp.	1262
ISCysp6	ISAs1	Cyanothece sp.	1360
ISCysp7	ISAs1	Cyanothece sp.	1628
ISCysp8	ISAs1	Cyanothece sp.	1556
ISDpr7	ISAzo13	Delta proteobacterium	1289
ISDpr8	ISAzo13	Delta proteobacterium	1335
ISDpr9	ISAzo13	Delta proteobacterium	1309
ISDssp1	ISAzo13	Desulfobacterium sp.	1305
ISDssp2	ISAzo13	Desulfobacterium sp.	1318
ISDssp3	ISAzo13	Desulfobacterium sp.	1304
ISEc1	ISAs1	Escherichia coli	1291
ISEc26	ISAs1	Escherichia coli	1305
ISEc5	ISAs1	Escherichia coli	1291
ISFsp12	ISAzo13	Frankia sp.	1730
ISFsp13	ISAzo13	Frankia sp.	1724
ISGob5	ISAs1	Gemmata obscuriglobus	1308
ISKpn31	ISAs1	Klebsiella pneumoniae	2328
ISKpn9	ISAs1	Klebsiella pneumoniae	1283
ISKra3	ISAzo13	Ktedonobacter racemifer	1287
ISLead2	ISAs1	Leclercia adcarboxglata	1323
ISLsp4	ISAzo13	Leptospirillum sp.	1295
ISMae28	ISAzo13	Microcystis aeruginosa	1595
ISMae8	ISAs1	Microcystis aeruginosa	1418
ISMca6	ISAs1	Methylococcus capsulatus	1180
ISMco6	ISAzo13	Methanosaeta concilii	1306
ISMfu1	ISAzo13	Myxococcus fulvus	1293
ISMme1	ISAzo13	Mesorhizobium metallidurans	1324
ISMno1	ISAs1	Methylobacterium nodulans	1218
ISMul1	ISAs1	Mycobacterium ulcerans	1366
