gene	acession	vfid	VFID	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference
lef	AAD32411	VF0142	VF0142	Anthrax toxin		Bacillus anthracis	VFC0235	Exotoxin	"AtxA, a pXO1 gene required for transcription of the three toxin genes, also positively regulated encapsulation; the expression of atxA gene is not controlled by CO2"	"Belongs to the family of bacterial AB toxins:;  composed of a single B subunit called protective antigen (PA) and two alternative A subunits: edema factor (EF) and lethal factor (LF); Monomeric PA displays four structural domains:;  Domain 1 contains the proteolytic activation site. Domain 2 is a <beta>-barrel core containing a large flexible loop for pore formation. Domain 3 is involved in heptamer formation. Domain 4 binds to anthrax toxin receptor (ATR); LF is organized into four domains:;  Domain 1 (LFn) is the PA-binding domain. Domain 2 (VIP2-like, VIP2, an ADP-ribosylating toxin from Bacillus cereus) participates in forming a binding pocket for substrate peptide. Domain 3 is a helical bundle that may contribute to substrate specificity by restricting access to the binding pocket. Domain 4 is the catalytic center;  PDB code for PA: 1ACC, LF: 1J7N, EF: 1K8T, 1K93, 1K90"	"The combination of PA and EF is edema toxin (EdTx), the combination of PA and LF is lethal toxin (LeTx); EF is a calcium- and calmodulin-dependent adenylate cyclase that causes dramatic increases in intracellular concentrations of cAMP; LF is a zinc-dependent protease that cleaves mitogen-activated protein kinase kinases (MAPKKs) in their amino-terminal regions. It is a multi-functional virulence factor that appears to play a role in all stages of infection. Early in the infection, it acts to suppress immune cell and cytokine responses, thereby promoting bacterial outgrowth. Later in the disease, it induces the cytokine-independent shock-like death associated with anthrax."	"PA, EF and LF are secreted independently and assemble at the mammalian cell surface into toxin complexes. PA binds to cell-surface anthrax toxin receptor (ATR), encoded by the tumor endothelial marker 8 (TEM8) gene. ATR is a type I membrane protein with an extracellular von Willebrand factor type A domain (VWA) and is cleaved by furin or a furin-like protease, releases an amino-terminal 20kDa fragment (PA20) and the receptor-bound carboxy-terminal 63kDa fragment (PA63). Recently, a second PA receptor encoded by capillary morphogenesis gene 2 (CMG2) has been identified. It has 60% amino acid identity to ATR/TEM8 within the VWA/I domain, as well as a conserved MIDAS (metal ion dependent adhesion site) motif; PA63 oligomerizes into ring-shaped hepameric or actameric pre-channels and binds 3 or 4 LF/EF substrates respectively. The assembled toxic complexes are then internalized by membrane lipid rafts and directed to endosomes. The PA oligomer transforms into a transmembrane, <beta>-barrel channel. The proton motive force unfolds and translocates LF and EF through the channel. Once the enzymatic moieties have accessed the cytosolic compartment, they exert their toxic activities."	Abstract(s) in PubMed
pagA	AAD32414	VF0142	VF0142	Anthrax toxin		Bacillus anthracis	VFC0235	Exotoxin	"AtxA, a pXO1 gene required for transcription of the three toxin genes, also positively regulated encapsulation; the expression of atxA gene is not controlled by CO2"	"Belongs to the family of bacterial AB toxins:;  composed of a single B subunit called protective antigen (PA) and two alternative A subunits: edema factor (EF) and lethal factor (LF); Monomeric PA displays four structural domains:;  Domain 1 contains the proteolytic activation site. Domain 2 is a <beta>-barrel core containing a large flexible loop for pore formation. Domain 3 is involved in heptamer formation. Domain 4 binds to anthrax toxin receptor (ATR); LF is organized into four domains:;  Domain 1 (LFn) is the PA-binding domain. Domain 2 (VIP2-like, VIP2, an ADP-ribosylating toxin from Bacillus cereus) participates in forming a binding pocket for substrate peptide. Domain 3 is a helical bundle that may contribute to substrate specificity by restricting access to the binding pocket. Domain 4 is the catalytic center;  PDB code for PA: 1ACC, LF: 1J7N, EF: 1K8T, 1K93, 1K90"	"The combination of PA and EF is edema toxin (EdTx), the combination of PA and LF is lethal toxin (LeTx); EF is a calcium- and calmodulin-dependent adenylate cyclase that causes dramatic increases in intracellular concentrations of cAMP; LF is a zinc-dependent protease that cleaves mitogen-activated protein kinase kinases (MAPKKs) in their amino-terminal regions. It is a multi-functional virulence factor that appears to play a role in all stages of infection. Early in the infection, it acts to suppress immune cell and cytokine responses, thereby promoting bacterial outgrowth. Later in the disease, it induces the cytokine-independent shock-like death associated with anthrax."	"PA, EF and LF are secreted independently and assemble at the mammalian cell surface into toxin complexes. PA binds to cell-surface anthrax toxin receptor (ATR), encoded by the tumor endothelial marker 8 (TEM8) gene. ATR is a type I membrane protein with an extracellular von Willebrand factor type A domain (VWA) and is cleaved by furin or a furin-like protease, releases an amino-terminal 20kDa fragment (PA20) and the receptor-bound carboxy-terminal 63kDa fragment (PA63). Recently, a second PA receptor encoded by capillary morphogenesis gene 2 (CMG2) has been identified. It has 60% amino acid identity to ATR/TEM8 within the VWA/I domain, as well as a conserved MIDAS (metal ion dependent adhesion site) motif; PA63 oligomerizes into ring-shaped hepameric or actameric pre-channels and binds 3 or 4 LF/EF substrates respectively. The assembled toxic complexes are then internalized by membrane lipid rafts and directed to endosomes. The PA oligomer transforms into a transmembrane, <beta>-barrel channel. The proton motive force unfolds and translocates LF and EF through the channel. Once the enzymatic moieties have accessed the cytosolic compartment, they exert their toxic activities."	Abstract(s) in PubMed
cya	AAD32426	VF0142	VF0142	Anthrax toxin		Bacillus anthracis	VFC0235	Exotoxin	"AtxA, a pXO1 gene required for transcription of the three toxin genes, also positively regulated encapsulation; the expression of atxA gene is not controlled by CO2"	"Belongs to the family of bacterial AB toxins:;  composed of a single B subunit called protective antigen (PA) and two alternative A subunits: edema factor (EF) and lethal factor (LF); Monomeric PA displays four structural domains:;  Domain 1 contains the proteolytic activation site. Domain 2 is a <beta>-barrel core containing a large flexible loop for pore formation. Domain 3 is involved in heptamer formation. Domain 4 binds to anthrax toxin receptor (ATR); LF is organized into four domains:;  Domain 1 (LFn) is the PA-binding domain. Domain 2 (VIP2-like, VIP2, an ADP-ribosylating toxin from Bacillus cereus) participates in forming a binding pocket for substrate peptide. Domain 3 is a helical bundle that may contribute to substrate specificity by restricting access to the binding pocket. Domain 4 is the catalytic center;  PDB code for PA: 1ACC, LF: 1J7N, EF: 1K8T, 1K93, 1K90"	"The combination of PA and EF is edema toxin (EdTx), the combination of PA and LF is lethal toxin (LeTx); EF is a calcium- and calmodulin-dependent adenylate cyclase that causes dramatic increases in intracellular concentrations of cAMP; LF is a zinc-dependent protease that cleaves mitogen-activated protein kinase kinases (MAPKKs) in their amino-terminal regions. It is a multi-functional virulence factor that appears to play a role in all stages of infection. Early in the infection, it acts to suppress immune cell and cytokine responses, thereby promoting bacterial outgrowth. Later in the disease, it induces the cytokine-independent shock-like death associated with anthrax."	"PA, EF and LF are secreted independently and assemble at the mammalian cell surface into toxin complexes. PA binds to cell-surface anthrax toxin receptor (ATR), encoded by the tumor endothelial marker 8 (TEM8) gene. ATR is a type I membrane protein with an extracellular von Willebrand factor type A domain (VWA) and is cleaved by furin or a furin-like protease, releases an amino-terminal 20kDa fragment (PA20) and the receptor-bound carboxy-terminal 63kDa fragment (PA63). Recently, a second PA receptor encoded by capillary morphogenesis gene 2 (CMG2) has been identified. It has 60% amino acid identity to ATR/TEM8 within the VWA/I domain, as well as a conserved MIDAS (metal ion dependent adhesion site) motif; PA63 oligomerizes into ring-shaped hepameric or actameric pre-channels and binds 3 or 4 LF/EF substrates respectively. The assembled toxic complexes are then internalized by membrane lipid rafts and directed to endosomes. The PA oligomer transforms into a transmembrane, <beta>-barrel channel. The proton motive force unfolds and translocates LF and EF through the channel. Once the enzymatic moieties have accessed the cytosolic compartment, they exert their toxic activities."	Abstract(s) in PubMed
dep/capD	AAF13660	VF0141	VF0141	Capsule		Bacillus anthracis	VFC0258	Immune modulation	"Capsule synthesis is encoded by the plasmid pXO2; capBCA encodes membrane associated enzymes, dep, adjacent to the cap region for the encapsulation, degrades the high-molecular weight capsule (H-capsule, >100 KDa) to the lower-molecular weight capsule (L-capsule, <14 KDa); acpA located on plasmid pXO2 is a positive regulator for cap region and is activated by high concentrations of CO2"	A polymer of <gamma>-D-glutamic acid	"Inhibits phagocytosis, and it is a monotonous linear polymer that is only very weakly immunogenic that enables the bacteria to evade the host-immune defenses and facilitate systemic invasion and dissemination within the bloodstream; produces a concentration dependent enhancement of the cytotoxicity of LT through an enhancement in the binding and accumulation of protective antigen to its receptors."		Abstract(s) in PubMed
capA	AAF13661	VF0141	VF0141	Capsule		Bacillus anthracis	VFC0258	Immune modulation	"Capsule synthesis is encoded by the plasmid pXO2; capBCA encodes membrane associated enzymes, dep, adjacent to the cap region for the encapsulation, degrades the high-molecular weight capsule (H-capsule, >100 KDa) to the lower-molecular weight capsule (L-capsule, <14 KDa); acpA located on plasmid pXO2 is a positive regulator for cap region and is activated by high concentrations of CO2"	A polymer of <gamma>-D-glutamic acid	"Inhibits phagocytosis, and it is a monotonous linear polymer that is only very weakly immunogenic that enables the bacteria to evade the host-immune defenses and facilitate systemic invasion and dissemination within the bloodstream; produces a concentration dependent enhancement of the cytotoxicity of LT through an enhancement in the binding and accumulation of protective antigen to its receptors."		Abstract(s) in PubMed
capC	AAF13662	VF0141	VF0141	Capsule		Bacillus anthracis	VFC0258	Immune modulation	"Capsule synthesis is encoded by the plasmid pXO2; capBCA encodes membrane associated enzymes, dep, adjacent to the cap region for the encapsulation, degrades the high-molecular weight capsule (H-capsule, >100 KDa) to the lower-molecular weight capsule (L-capsule, <14 KDa); acpA located on plasmid pXO2 is a positive regulator for cap region and is activated by high concentrations of CO2"	A polymer of <gamma>-D-glutamic acid	"Inhibits phagocytosis, and it is a monotonous linear polymer that is only very weakly immunogenic that enables the bacteria to evade the host-immune defenses and facilitate systemic invasion and dissemination within the bloodstream; produces a concentration dependent enhancement of the cytotoxicity of LT through an enhancement in the binding and accumulation of protective antigen to its receptors."		Abstract(s) in PubMed
capB	AAF13663	VF0141	VF0141	Capsule		Bacillus anthracis	VFC0258	Immune modulation	"Capsule synthesis is encoded by the plasmid pXO2; capBCA encodes membrane associated enzymes, dep, adjacent to the cap region for the encapsulation, degrades the high-molecular weight capsule (H-capsule, >100 KDa) to the lower-molecular weight capsule (L-capsule, <14 KDa); acpA located on plasmid pXO2 is a positive regulator for cap region and is activated by high concentrations of CO2"	A polymer of <gamma>-D-glutamic acid	"Inhibits phagocytosis, and it is a monotonous linear polymer that is only very weakly immunogenic that enables the bacteria to evade the host-immune defenses and facilitate systemic invasion and dissemination within the bloodstream; produces a concentration dependent enhancement of the cytotoxicity of LT through an enhancement in the binding and accumulation of protective antigen to its receptors."		Abstract(s) in PubMed
BAS3109	YP_029366	VF0534	VF0534	ALO	Anthrolysin O	Bacillus anthracis	VFC0235	Exotoxin		"Belongs to cholesterol-dependent cytolysin (CDC). CDCs are pore-forming toxins, which require cholesterol in the membrane to form pores with a mechanism not completely clarified; It is generally known that monomers oligomerize into a prepore complex and that this step is followed by a large conformational change in each oligomer, resulting in the insertion into the membrane"	Lytic activity against phagocytes and decreases the barrier function of human polarized epithelial cells		Abstract(s) in PubMed
cytK	NP_977531	VF0535	VF0535	CytK	"Cytotoxin K, Haemolysin IV"	Bacillus cereus	VFC0235	Exotoxin		Belongs to the family of oligomeric <beta>-barrel pore-forming toxins	Haemolytic and cytotoxic activity	"Secreted in a soluble form, which is eventually converted into a transmembrane pore by the assembly of an oligomeric <beta>-barrel, with the hydrophobic residues facing the lipids and the hydrophilic residues facing the lumen of the channel"	Abstract(s) in PubMed
hblA	NP_832844	VF0532	VF0532	HBL	Haemolysin BL	Bacillus cereus	VFC0235	Exotoxin	This enterotoxin is toxic only as a ternary complex. Neither any binary combination of the components nor any individual component is toxic in its own right	"Tripartite toxin composed of three distinct protein components, B (41 kDa), L1 (38.2 kDa), and L2 (43.5 kDa); Hbl-B has a striking resemblance to HlyE/ClyA/SheA, a single-component hemolytic enterotoxin"	"A pore-forming toxin possesses hemolytic, cytotoxic, dermonecrotic, and vascular permeability activities"	"HBL-B is the only protein able to associate productively with the cell membrane, and this binding is followed by the ordered recruitment of first L1 and then L2.The membrane-associated HBL components form a membrane attack complex that causes lysis by a colloid osmotic mechanism"	Abstract(s) in PubMed
